2024-06-05 15:52:12,3,3,ccc,2024-06-05 15:52:21,146
2024-06-05 15:52:12,3,3,ccc,2024-06-05 15:52:17,17.38
2024-06-05 15:52:12,3,3,ccc,2024-06-05 15:52:16,15.31
2024-06-05 15:52:12,3,3,ccc,2024-06-05 15:52:14,19.94
2024-06-05 15:52:13,3,4,aaa,2024-06-05 15:52:21,146
2024-06-05 15:52:13,3,4,aaa,2024-06-05 15:52:17,17.38
2024-06-05 15:52:13,3,4,aaa,2024-06-05 15:52:16,15.31
2024-06-05 15:52:13,3,4,aaa,2024-06-05 15:52:14,19.94
2024-06-05 15:52:14,3,3,bbb,2024-06-05 15:52:21,146
2024-06-05 15:52:14,3,3,bbb,2024-06-05 15:52:17,17.38
2024-06-05 15:52:14,3,3,bbb,2024-06-05 15:52:16,15.31
2024-06-05 15:52:14,3,3,bbb,2024-06-05 15:52:14,19.94
2024-06-05 15:52:15,3,5,bbb,2024-06-05 15:52:21,146
2024-06-05 15:52:15,3,5,bbb,2024-06-05 15:52:17,17.38
2024-06-05 15:52:15,3,5,bbb,2024-06-05 15:52:16,15.31
2024-06-05 15:52:19,3,6,aaa,2024-06-05 15:52:29,17.31
2024-06-05 15:52:19,3,6,aaa,2024-06-05 15:52:26,20.77
2024-06-05 15:52:19,3,6,aaa,2024-06-05 15:52:21,146
2024-06-05 15:52:21,3,1,bbb,2024-06-05 15:52:31,10.93
2024-06-05 15:52:21,3,1,bbb,2024-06-05 15:52:29,17.31
2024-06-05 15:52:21,3,1,bbb,2024-06-05 15:52:26,20.77
2024-06-05 15:52:21,3,1,bbb,2024-06-05 15:52:21,146
2024-06-05 15:52:22,3,8,bbb,2024-06-05 15:52:32,17.92
2024-06-05 15:52:22,3,8,bbb,2024-06-05 15:52:31,10.93
2024-06-05 15:52:22,3,8,bbb,2024-06-05 15:52:29,17.31
2024-06-05 15:52:22,3,8,bbb,2024-06-05 15:52:26,20.77
2024-06-05 15:52:23,3,5,aaa,2024-06-05 15:52:32,17.92
2024-06-05 15:52:23,3,5,aaa,2024-06-05 15:52:31,10.93
2024-06-05 15:52:23,3,5,aaa,2024-06-05 15:52:29,17.31
2024-06-05 15:52:23,3,5,aaa,2024-06-05 15:52:26,20.77
2024-06-05 15:52:26,3,4,ccc,2024-06-05 15:52:35,17.75
2024-06-05 15:52:26,3,4,ccc,2024-06-05 15:52:32,17.92
2024-06-05 15:52:26,3,4,ccc,2024-06-05 15:52:31,10.93
2024-06-05 15:52:26,3,4,ccc,2024-06-05 15:52:29,17.31
2024-06-05 15:52:26,3,4,ccc,2024-06-05 15:52:26,20.77
2024-06-05 15:52:27,3,6,bbb,2024-06-05 15:52:37,17.4
2024-06-05 15:52:27,3,6,bbb,2024-06-05 15:52:35,17.75
2024-06-05 15:52:27,3,6,bbb,2024-06-05 15:52:32,17.92
2024-06-05 15:52:27,3,6,bbb,2024-06-05 15:52:31,10.93
